trial_id,score,elapsed_s,param_thermal_diffusion,param_ice_albedo_strength,param_polar_cooling_scale,param_ocean_transport_coeff,metric_global_mean_t,metric_gradient_nh,metric_gradient_sh,metric_ice_frac_nh,metric_ice_frac_sh,metric_mean_precip,metric_wind_trade_mean,metric_wind_midlat_mean,metric_wind_itcz_conv,metric_seasonal_amplitude_nh,metric_circulation_score,metric_has_nan,metric_has_inf,contrib_global_mean_t,contrib_gradient_nh,contrib_gradient_sh,contrib_ice_frac_nh,contrib_ice_frac_sh,contrib_mean_precip,contrib_wind_trade_mean,contrib_wind_midlat_mean,contrib_wind_itcz_conv,contrib_seasonal_amplitude_nh
1,72.48708806629587,2.4215266001410782,0.042133222476725844,0.47750964369735827,0.3416227891286202,0.3037988866835758,280.29519309567553,1.3161076136997767,30.434043884277344,0.049107142857142856,0.5178571428571429,3.2198200826360255,3.198746372486051,3.715702859351295,0.04817010329238006,11.28540272943934,0.0,False,False,1.0491988493584883,0.7263221522843113,0.8949172761719781,1.5,0.0,0.4966966528950969,0.9465830915026312,0.9286501588568136,1.0,0.7936469472795764
0,73.15821290930428,2.42258429992944,0.012583269688930223,0.5106852413268695,0.26853595258129004,0.16824035446339292,280.4774181927683,2.0356532505580356,32.1058349609375,0.049107142857142856,0.5267857142857143,3.2292514769554104,3.2088724658941983,3.7137999618152233,0.04886069308434214,12.111668896938284,0.0,False,False,1.0795696988714212,0.7407130650212845,0.9181365966808245,1.5,0.0,0.4951247538423901,0.9472581643964627,0.9285444423270377,1.0,0.8038477641621535
2,72.35163805400731,2.43639099993743,0.03246862038083197,0.41354710031437525,0.555808063109839,0.45290330445669513,280.28732307069043,1.341644287109375,29.570804050990514,0.049107142857142856,0.5133928571428571,3.2093864041312163,3.1888607396790922,3.718098232307137,0.047539559725139825,10.961455182744203,0.0,False,False,1.0478871785277484,0.7268328857524964,0.8829278340431609,1.5,0.0,0.49843559931198544,0.9459240493155445,0.9287832351321308,1.0,0.7896475948512909
3,73.23296592338558,2.528376500122249,0.015496753608230586,0.40036615796078234,0.2957954311753504,0.11549451677019489,280.4907863580057,2.0996573311941966,32.514448983328684,0.049107142857142856,0.5267857142857143,3.2330855314052007,3.2132152749717955,3.713045120915816,0.04915242003543036,12.09585095674771,0.0,False,False,1.0817977264108039,0.7419931466339906,0.9238117914361788,1.5,0.0,0.494485744767638,0.9475476850016166,0.9285025067215175,1.0,0.8036524809499267
4,72.99645388796975,3.0760534999426454,0.01900299981104374,0.34471558720524165,0.20314850642132365,0.20140325239801476,280.4410019531448,1.8404301234654017,31.658243451799667,0.049107142857142856,0.5223214285714286,3.227308458381184,3.206147933068326,3.714277632362775,0.048675013173903735,11.902636970660467,0.0,False,False,1.0735003256013402,0.736808602479484,0.9119200479428854,1.5,0.0,0.4954485902713198,0.9470765288747499,0.928570979579678,1.0,0.8012671230970272
6,72.7032378091619,3.0606181998737156,0.03697621314748426,0.2732340745315242,0.22111494978895593,0.2271912707697786,280.3560367574986,1.47998046875,31.069481985909597,0.049107142857142856,0.5223214285714286,3.2252522632208014,3.2041092980359758,3.71463622093612,0.0485351953123297,11.546280773137937,0.0,False,False,1.0593394596614885,0.729599609385272,0.9037428053611924,1.5,0.0,0.4957912894646027,0.9469406198726024,0.928590901167085,1.0,0.7968676638684082
7,72.80828927937857,3.164716799976304,0.026580515830339328,0.4732392156893366,0.3958593880383875,0.23776573882716023,280.3819566839608,1.6628875732421875,31.237186976841517,0.049107142857142856,0.5223214285714286,3.2245273841332875,3.203530958102129,3.7147203709806993,0.04849364861313786,11.682897079776637,0.0,False,False,1.0636594474048322,0.733257751475067,0.9060720413463257,1.5,0.0,0.49591210264581476,0.9469020638770151,0.9285955761695613,1.0,0.7985542849380011
5,72.80300630469091,3.453832499915734,0.040189794201176264,0.5955985864409477,0.5698955032977246,0.14405503394957792,280.3522823327755,1.5862840924944197,31.797372000558035,0.049107142857142856,0.5267857142857143,3.2314648816754112,3.2108516994076255,3.7134067610093937,0.04899483679660729,11.588214857272988,0.0,False,False,1.0587137222076861,0.7317256818601321,0.9138523888978358,1.5,0.0,0.4947558530558462,0.947390113297349,0.9285225978378262,1.0,0.7973853686108099
9,72.68676668457184,3.264449500013143,0.005420309126265196,0.4499751050529862,0.6430829355849854,0.4663550798199442,280.3929714890033,1.7976815359933036,30.012725830078125,0.049107142857142856,0.5133928571428571,3.209714275724816,3.18811335898284,3.718499135328926,0.04749692723687206,11.427640443650091,0.0,False,False,1.06549524824509,0.7359536307300535,0.8890656365304036,1.5,0.0,0.49838095404640376,0.9458742239357977,0.9288055075222289,1.0,0.7954029684426505
8,72.38003703434558,3.4534092000685632,0.03899213731630499,0.34205065237343124,0.5025663989926512,0.3837294907480824,280.282176528947,1.2936946323939733,29.903634207589285,0.049107142857142856,0.5133928571428571,3.2155298068968254,3.19326396544001,3.7169954426735967,0.04782024664538247,11.062835584170898,0.0,False,False,1.0470294215705793,0.7258738926582012,0.8875504751069685,1.5,0.0,0.4974116988513919,0.9462175976995861,0.9287219690413819,1.0,0.7908992047454321
